"Blooket
Import Template",,,,,,,,,,,,,,,,,,,,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)",,,,,,,,,,,,,,,,,,
1,"What does ""remarkable"" mean?",Unimportant,Boring,Normal,Extraordinary or notable,20,4,,,,,,,,,,,,,,,,,,
2,"What does ""feats of engineering"" mean?",Simple tasks,Basic instructions,Natural events,Impressive technical achievements,20,4,,,,,,,,,,,,,,,,,,
3,"What does ""facilitate"" mean?",To break down,To make easier or assist,To stop,To hide,20,2,,,,,,,,,,,,,,,,,,
4,"What does ""obstacles"" mean?",Paths to follow,Friendly objects,Rewards,Things that block one's way,15,4,,,,,,,,,,,,,,,,,,
5,"What does ""gorges"" mean?",High mountains,Flat plains,Deep narrow valleys,Wide oceans,20,3,,,,,,,,,,,,,,,,,,
6,"What does ""evolution"" mean?",Quick jump,Losing something,Gradual development,Sudden stop,15,3,,,,,,,,,,,,,,,,,,
7,"What does ""advancements"" mean?",Mistakes,Progress or improvements,Obstacles,Steps backwards,15,2,,,,,,,,,,,,,,,,,,
8,"What does ""construction techniques"" mean?",Farming skills,Computer programming,Methods of building,Cooking recipes,20,3,,,,,,,,,,,,,,,,,,
9,"What does ""structural"" mean?",Relating to the physical makeup or structure,About money,About feelings,About plants,20,1,,,,,,,,,,,,,,,,,,
10,"What does ""prominent"" mean?",Tiny,Important or easily seen,Hidden,Useless,15,2,,,,,,,,,,,,,,,,,,
11,"What does ""distribute"" mean?",To ignore completely,To divide and share out evenly,To collect all together,To destroy entirely,20,2,,,,,,,,,,,,,,,,,,
12,"What are ""abutments""?",The water under a bridge,Decorations on a bridge,Supports at the ends of an arch bridge,The cars on a bridge,20,3,,,,,,,,,,,,,,,,,,
13,"What does ""masonry"" mean?",Glassmaking,Woodwork,Plastic production,Stonework or brickwork,20,4,,,,,,,,,,,,,,,,,,
14,"What is ""reinforced concrete""?",Liquid plastic,Normal cement,Soft clay,Concrete strengthened with steel,20,4,,,,,,,,,,,,,,,,,,
15,"What does ""load-bearing capacity"" mean?",The speed of a vehicle,The length of a road,The ability to carry weight,The cost of building,20,3,,,,,,,,,,,,,,,,,,
16,"What does ""horizontal deck"" mean?",A curved ceiling,A flat surface lying straight across,A steep hill,A vertical wall,20,2,,,,,,,,,,,,,,,,,,
17,"What are ""piers"" in bridge construction?",Vertical columns that support the bridge,The paint on the bridge,The cars driving on it,Wires that hang down,20,1,,,,,,,,,,,,,,,,,,
18,"What does ""straightforward"" mean?",Simple and easy to understand,Mysterious,Very complicated,Confusing,15,1,,,,,,,,,,,,,,,,,,
19,"What does ""constraint"" mean?",An advantage,A choice,A limitation or restriction,A freedom,20,3,,,,,,,,,,,,,,,,,,
20,"What does ""interconnected"" mean?",Broken apart,Separated,Independent,Linked or connected with each other,15,4,,,,,,,,,,,,,,,,,,
21,What are bridges described as in the essay?,Natural rock formations,Temporary wooden paths,Remarkable feats of engineering,Underground tunnels,20,3,,,,,,,,,,,,,,,,,,
22,Which of the following is a natural obstacle a bridge can overcome?,Gorges,Traffic jams,Bad weather,Tall buildings,20,1,,,,,,,,,,,,,,,,,,
23,"What is one of the oldest bridge designs, according to the text?",The cable-stayed bridge,The suspension bridge,The arch bridge,The truss bridge,15,3,,,,,,,,,,,,,,,,,,
24,How does an arch bridge distribute its weight?,By hanging from the sky,Through its curved structure into abutments,By relying on triangles,By floating on water,20,2,,,,,,,,,,,,,,,,,,
