"Blooket
Import Template",,,,,,,,,,,,,,,,,,,,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)",,,,,,,,,,,,,,,,,,
1,"What does ""artificial light"" mean?",Sunlight,Starlight,Man-made light,Moonlight,20,3,,,,,,,,,,,,,,,,,,
2,"What does ""excessive"" mean?",Too much,Just right,Normal,Too little,15,1,,,,,,,,,,,,,,,,,,
3,"What does ""over-illumination"" mean?",Colorful lighting,Not enough lighting,Natural lighting,Too much lighting,20,4,,,,,,,,,,,,,,,,,,
4,"What does ""inefficient"" mean?",Not effective or wasteful,Very powerful,Very cheap,Very fast,15,1,,,,,,,,,,,,,,,,,,
5,"What does ""urban areas"" mean?",Oceans,Forests,City areas,Mountains,15,3,,,,,,,,,,,,,,,,,,
6,"What does ""disrupts"" mean?",Helps,Breaks or interrupts,Creates,Supports,15,2,,,,,,,,,,,,,,,,,,
7,"What does ""ecosystem"" mean?",A type of building,A community of living things and their environment,A kind of light,A city park,20,2,,,,,,,,,,,,,,,,,,
8,"What does ""stellar"" mean in the context of light?",Related to stars,Related to the moon,Related to the sun,Related to fire,20,1,,,,,,,,,,,,,,,,,,
9,"What does ""skyglow"" mean?",The sunrise,A rainbow,Brightness in the night sky from artificial light,A shooting star,20,3,,,,,,,,,,,,,,,,,,
10,"What does ""disorientated"" mean?",Very happy,Confused about direction,Very angry,Well-organized,15,2,,,,,,,,,,,,,,,,,,
11,"What does ""hatchlings"" mean?",Big animals,Trained animals,Newly born animals from eggs,Old animals,15,3,,,,,,,,,,,,,,,,,,
12,"What does ""fatal"" mean?",Causing death,Causing happiness,Causing sleep,Causing hunger,15,1,,,,,,,,,,,,,,,,,,
13,"What does ""foraging"" mean?",Running,Searching for food,Swimming,Sleeping,15,2,,,,,,,,,,,,,,,,,,
14,"What does ""melatonin production"" mean?",The body making muscle,The body making blood,The body making a sleep hormone,The body making food,20,3,,,,,,,,,,,,,,,,,,
15,"What does ""insomnia"" mean?",Feeling hungry,Difficulty sleeping,Feeling happy,Feeling cold,15,2,,,,,,,,,,,,,,,,,,
16,"What does ""mitigate"" mean?",To destroy,To reduce or make less severe,To increase,To ignore,15,2,,,,,,,,,,,,,,,,,,
17,"What does ""shielded lighting"" mean?",Moving lights,Colorful lights,Lights with covers to direct light downward,Lights without covers,20,3,,,,,,,,,,,,,,,,,,
18,"What does ""light trespass"" mean?",Unwanted light entering a space,Sunlight in a garden,Wanted light in a room,Moonlight at the beach,20,1,,,,,,,,,,,,,,,,,,
19,"What does ""sustainable"" mean?",Very fast,Able to continue for a long time without damage,Very expensive,Very bright,20,2,,,,,,,,,,,,,,,,,,
20,"What does ""dark-sky preserves"" mean?",Shopping centers,Areas with many lights,Areas protected from artificial light,Industrial zones,20,3,,,,,,,,,,,,,,,,,,
21,What is light pollution?,Excessive and inefficient use of artificial light,Air pollution from factories,Noise from traffic,Water contamination,20,1,,,,,,,,,,,,,,,,,,
22,Where does light pollution mainly occur?,Urban areas,Forests,Deep oceans,Deserts,15,1,,,,,,,,,,,,,,,,,,
23,What creates skyglow in cities?,Bright streetlights and billboards,Volcanoes,Fireflies,The moon,20,1,,,,,,,,,,,,,,,,,,
24,How does light pollution affect sea turtle hatchlings?,They sleep more,They crawl toward city lights instead of the ocean,They grow bigger,They swim faster,20,2,,,,,,,,,,,,,,,,,,
25,What do many wildlife species use stellar light for?,Navigation,Finding water,Building nests,Cooking,15,1,,,,,,,,,,,,,,,,,,
26,What hormone is affected by light pollution in humans?,Adrenaline,Insulin,Melatonin,Dopamine,20,3,,,,,,,,,,,,,,,,,,
27,What sleep problem can light pollution cause?,Snoring,Nightmares,Insomnia,Sleepwalking,15,3,,,,,,,,,,,,,,,,,,
28,Who has difficulty observing stars because of light pollution?,Farmers,Chefs,Astronomers,Teachers,15,3,,,,,,,,,,,,,,,,,,
29,What is one solution to reduce light pollution?,Using shielded lighting,Using brighter lights,Opening windows at night,Adding more billboards,20,1,,,,,,,,,,,,,,,,,,
30,"According to the essay, what should governments do about light pollution?",Build more streetlights,Raise awareness and create dark-sky preserves,Ban all electricity,Ignore the problem,20,2,,,,,,,,,,,,,,,,,,
31,What happens to the ecological balance because of light pollution?,It stays the same,It becomes stronger,It is broken,It is improved,15,3,,,,,,,,,,,,,,,,,,
32,Why do animals change their foraging habits due to light pollution?,Because they can no longer hide in the dark,Because food becomes tastier,Because they feel happier,Because water is cleaner,20,1,,,,,,,,,,,,,,,,,,
33,What does light trespass into bedrooms interfere with?,Melatonin production,Homework,Cooking,Exercise,15,1,,,,,,,,,,,,,,,,,,
34,Why is light pollution also an energy problem?,Much light is wasted by being reflected upward,Lights produce too much heat,People use candles,Electricity is too cheap,20,1,,,,,,,,,,,,,,,,,,
35,How does shielded lighting help reduce light pollution?,It makes lights brighter,It turns lights off automatically,It changes the color of light,It directs light downward instead of upward,20,4,,,,,,,,,,,,,,,,,,
36,What is the main idea of the essay on light pollution?,Light is always beneficial,Cities should be darker,Artificial light causes harm and we need solutions,Animals don't need light,20,3,,,,,,,,,,,,,,,,,,
37,Which of these is NOT a cause of light pollution?,Billboards,Streetlights,Over-illumination,Moonlight,15,4,,,,,,,,,,,,,,,,,,
38,What does the essay suggest about turning off lights?,We should turn off unnecessary lights,Lights should be on 24/7,We should never turn off lights,Only use candles,15,1,,,,,,,,,,,,,,,,,,
39,What is the consequence for sea turtle hatchlings crawling toward city lights?,Fatal consequences,They learn to swim faster,They find food,They become stronger,15,1,,,,,,,,,,,,,,,,,,
40,What kind of lighting design can reduce skyglow?,Neon lights,Flashing lights,Colorful spotlights,Shielded lighting that points downward,20,4,,,,,,,,,,,,,,,,,,
41,"In the essay, what does ""natural rhythm"" refer to?",The movement of clouds,The beat of music,The flow of rivers,The biological cycle of ecosystems and animals,20,4,,,,,,,,,,,,,,,,,,
42,How does brightness in cities affect human health?,It helps people study,It improves eyesight,It causes sleep disorders,It makes people stronger,15,3,,,,,,,,,,,,,,,,,,
43,What is a dark-sky preserve?,A museum about the sky,A type of observatory,An area protected from artificial light at night,A park with bright lights,20,3,,,,,,,,,,,,,,,,,,
44,Which animals are mentioned as being affected by light pollution in the essay?,Lions,Elephants,Dolphins,Sea turtles,15,4,,,,,,,,,,,,,,,,,,
